quarter,geography,rental_unit_type,avg_rent
2019-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1730.0
2019-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1870.0
2019-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2490.0
2019-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3480.0
2019-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,770.0
2019-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1680.0
2019-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1900.0
2019-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2580.0
2019-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3670.0
2019-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,770.0
2019-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1640.0
2019-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1870.0
2019-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2500.0
2019-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3670.0
2019-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,770.0
2019-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1670.0
2019-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1890.0
2019-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2490.0
2019-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3500.0
2019-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,750.0
2020-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1650.0
2020-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1910.0
2020-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2530.0
2020-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3400.0
2020-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,760.0
2020-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1620.0
2020-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1870.0
2020-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2480.0
2020-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3150.0
2020-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,760.0
2020-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1600.0
2020-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1850.0
2020-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2430.0
2020-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3150.0
2020-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,760.0
2020-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1580.0
2020-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1810.0
2020-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2380.0
2020-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3220.0
2020-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,750.0
2021-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1610.0
2021-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1840.0
2021-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2410.0
2021-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3290.0
2021-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,760.0
2021-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1630.0
2021-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1860.0
2021-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2520.0
2021-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3520.0
2021-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,750.0
2021-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1690.0
2021-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1910.0
2021-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2610.0
2021-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3570.0
2021-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,770.0
2021-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1710.0
2021-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1970.0
2021-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2740.0
2021-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3720.0
2021-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,830.0
2022-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1760.0
2022-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,2060.0
2022-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2830.0
2022-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,4050.0
2022-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,870.0
2022-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1870.0
2022-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,2190.0
2022-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,3020.0
2022-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,4370.0
2022-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,910.0
2022-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,2020.0
2022-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,2400.0
2022-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,
2022-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,4680.0
2022-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,
2022-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,2150.0
2022-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,2450.0
2022-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,3400.0
2022-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,
2022-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,1120.0
2023-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,2120.0
2023-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,2440.0
2023-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,3300.0
2023-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,4620.0
2023-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,1200.0
2023-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,2190.0
2023-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,2520.0
2023-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,3470.0
2023-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,
2023-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,1220.0
2023-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,2340.0
2023-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,2640.0
2023-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,3580.0
2023-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,4950.0
2023-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,1270.0
2023-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,2280.0
2023-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,2560.0
2023-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,3510.0
2023-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,4830.0
2023-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,1280.0
2024-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,2230.0
2024-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,2530.0
2024-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,3440.0
2024-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,4850.0
2024-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,1230.0
2024-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,2230.0
2024-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,2520.0
2024-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,3360.0
2024-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,4680.0
2024-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,1200.0
2024-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,2200.0
2024-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,2510.0
2024-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,3390.0
2024-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,4650.0
2024-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,1120.0
2024-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,2150.0
2024-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,2450.0
2024-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,3250.0
2024-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,4680.0
2024-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,1080.0
2025-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,2120.0
2025-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,2380.0
2025-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,3170.0
2025-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,4320.0
2025-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,1070.0
2025-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,
2025-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,
2025-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,
2025-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,
2025-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,
2025-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,2100.0
2025-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,2390.0
2025-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,3190.0
2025-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,4340.0
2025-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,1070.0
